Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-11 00:00:00+00:00,-1.4,48.1,43.5,0.4,113.9,"red,green",,
2024-05-11 03:20:00+00:00,-99.1,50.4,59.1,20.5,99.6,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:45:00+00:00,2.5,57.3,54.4,22.6,100.6,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 04:00:00+00:00,-99.0,50.2,58.9,21.2,104.0,green,,
2024-05-11 03:11:00+00:00,-99.5,50.2,58.9,20.3,98.5,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-11 04:30:00+00:00,-96.8,49.6,58.4,21.9,107.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 00:35:00+00:00,6.9,52.2,48.4,1.5,108.6,purple/pink/magenta,purple/pink/magenta,
2024-05-10 20:20:00+00:00,4.9,51.8,47.9,21.2,98.2,purple/pink/magenta,"green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,4.6,52.5,48.7,21.8,101.7,"green,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-09 22:15:00+00:00,5.3,52.2,48.4,23.1,108.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:00:00+00:00,7.0,52.3,48.5,23.0,107.2,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 03:55:00+00:00,-97.2,49.9,58.8,21.3,104.4,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 03:15:00+00:00,-99.9,49.8,58.5,20.4,99.0,"green,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 21:05:00+00:00,5.9,47.8,43.1,21.9,106.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-12 22:30:00+00:00,4.6,52.6,48.9,23.3,107.4,purple/pink/magenta,purple/pink/magenta,
2024-05-10 22:56:00+00:00,4.6,52.5,48.8,23.7,109.0,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:15:00+00:00,4.4,52.2,48.4,23.1,107.5,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-09 22:30:00+00:00,5.0,52.1,48.3,23.3,108.8,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 04:42:00+00:00,-97.2,49.9,58.8,22.0,108.3,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 22:30:00+00:00,4.4,52.2,48.4,23.3,108.3,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:29:00+00:00,5.4,52.5,48.7,21.4,98.9,purple/pink/magenta,"red,green,blue,purple/pink/magenta",STEVE
2024-05-10 23:00:00+00:00,6.0,52.4,48.6,23.9,109.3,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 20:23:00+00:00,4.5,52.1,48.2,21.2,98.2,,red,
2024-05-10 21:30:00+00:00,3.6,51.5,47.6,22.3,104.8,purple/pink/magenta,purple/pink/magenta,
2024-05-10 23:16:00+00:00,5.1,52.6,48.9,0.1,109.3,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-10 23:15:00+00:00,6.7,53.0,49.3,0.2,109.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.4,52.3,48.5,21.4,99.6,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-10 20:40:00+00:00,6.0,52.0,48.1,21.6,100.7,"green,purple/pink/magenta",purple/pink/magenta,
2024-05-10 22:15:00+00:00,5.2,51.6,47.7,23.1,108.3,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 19:28:00+00:00,6.0,52.1,48.3,20.4,92.3,"red,green","red,green",
2024-05-10 20:32:00+00:00,5.6,51.8,47.9,21.4,99.8,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-10 19:53:00+00:00,4.7,52.8,49.1,20.7,94.3,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:31:00+00:00,4.6,52.7,49.0,22.4,104.2,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:05:00+00:00,5.4,52.5,48.7,23.0,107.0,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 23:10:00+00:00,5.4,52.6,48.9,0.0,109.2,"blue,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 21:36:00+00:00,6.0,51.2,47.2,22.5,106.3,purple/pink/magenta,purple/pink/magenta,
2024-05-10 22:30:00+00:00,5.7,52.7,49.0,23.4,108.0,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-10 23:05:00+00:00,5.0,52.1,48.3,23.9,109.6,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.2,52.8,49.1,21.4,99.2,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11 22:15:00+00:00,6.0,53.3,49.7,23.2,106.6,purple/pink/magenta,purple/pink/magenta,
2024-05-10 21:00:00+00:00,4.6,51.8,48.0,21.8,102.2,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-10 20:50:00+00:00,3.9,51.8,47.9,21.6,101.0,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-10 20:27:00+00:00,4.5,52.1,48.2,21.3,98.6,"green,blue,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,4.7,52.0,48.2,21.8,102.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:15:00+00:00,4.0,52.0,48.1,23.0,107.7,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:45:00+00:00,5.1,52.4,48.6,21.6,100.5,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,5.8,52.1,48.2,21.9,102.5,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:30:00+00:00,3.5,51.6,47.7,21.3,98.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 21:30:00+00:00,6.4,53.0,49.3,22.5,104.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11 01:20:00+00:00,14.4,49.9,45.8,2.6,105.3,purple/pink/magenta,purple/pink/magenta,
2024-05-10 21:00:00+00:00,4.5,52.3,48.5,21.8,101.8,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:45:00+00:00,5.4,51.7,47.8,21.6,101.1,purple/pink/magenta,purple/pink/magenta,
2024-05-11 22:28:00+00:00,5.9,51.0,47.0,23.3,109.4,"green,purple/pink/magenta","green,purple/pink/magenta",Dunes
2024-05-10 20:30:00+00:00,4.6,51.9,48.0,21.3,99.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
